user_id,screen_name,name,ai_prob,group,profile_image_url_original,profile_image_url,wayback_machine_url,ai_pred_label,dataset_label,botometer_score,sherlock_profile_notes,reverse_image,wayback_notes,sum_points,osint_label,comments
159182643,countryboy2525,David Jones,0.9731,pewny_bot,http://pbs.twimg.com/profile_images/1023113022/grandfather_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1023113022/grandfather_normal.jpg,https://web.archive.org/web/*/https://twitter.com/countryboy2525,bot,bot,,,,,,,
862651300609232896,RjPea,Rosie P,0.9514,pewny_bot,http://pbs.twimg.com/profile_images/971140613608542208/UmyQjfvZ_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/971140613608542208/UmyQjfvZ_normal.jpg,https://web.archive.org/web/*/https://twitter.com/RjPea,bot,bot,,,,,,,
33339053,TAZDMT,TAZ,0.921,pewny_bot,http://pbs.twimg.com/profile_images/896913120760918017/rCvFBmAa_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/896913120760918017/rCvFBmAa_normal.jpg,https://web.archive.org/web/*/https://twitter.com/TAZDMT,bot,bot,,,,,,,
803327166519775233,RZturbo69,StopTrump,0.9249,pewny_bot,http://pbs.twimg.com/profile_images/1078668487956914177/v3gcSTrY_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1078668487956914177/v3gcSTrY_normal.jpg,https://web.archive.org/web/*/https://twitter.com/RZturbo69,bot,bot,,,,,,,
80994043,tatum_elizabeth,Tatum Jarvis,0.9092,pewny_bot,http://pbs.twimg.com/profile_images/1062022510806528001/a3S2fLD6_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1062022510806528001/a3S2fLD6_normal.jpg,https://web.archive.org/web/*/https://twitter.com/tatum_elizabeth,bot,bot,,,,,,,
865591308722810880,Niall_Carr14,Niall Carr,0.9311,pewny_bot,http://pbs.twimg.com/profile_images/1107706638184710144/_vHn6o3C_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1107706638184710144/_vHn6o3C_normal.jpg,https://web.archive.org/web/*/https://twitter.com/Niall_Carr14,bot,bot,,,,,,,
109720244,UNLibrary,UN Library,0.9015,pewny_bot,http://pbs.twimg.com/profile_images/923955199898783745/mfw5jLk3_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/923955199898783745/mfw5jLk3_normal.jpg,https://web.archive.org/web/*/https://twitter.com/UNLibrary,bot,bot,,,,,,,
1245857311064600578,Viet_4_Trump,VietnameseAmerican4Trump,0.9405,pewny_bot,http://pbs.twimg.com/profile_images/1245857599016202241/-tcWsmiY_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1245857599016202241/-tcWsmiY_normal.jpg,https://web.archive.org/web/*/https://twitter.com/Viet_4_Trump,bot,bot,,,,,,,
27271859,NN_Levine,Natasha Gasca,0.9627,pewny_bot,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://web.archive.org/web/*/http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://web.archive.org/web/*/https://twitter.com/NN_Levine,bot,bot,,,,,,,
3516695594,RemNull,Rem,0.9645,pewny_bot,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://web.archive.org/web/*/http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://web.archive.org/web/*/https://twitter.com/RemNull,bot,bot,,,,,,,
1847308628,FXREL1,FXREL,0.9512,pewny_bot,http://pbs.twimg.com/profile_images/378800000434834578/4d73200593fbc4019bacab9d783ba2c1_normal.png,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/378800000434834578/4d73200593fbc4019bacab9d783ba2c1_normal.png,https://web.archive.org/web/*/https://twitter.com/FXREL1,bot,bot,,,,,,,
787471052,sarahfaye78,Sarah Bernabei,0.9432,pewny_bot,http://pbs.twimg.com/profile_images/672532703695249408/d_sSXE5J_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/672532703695249408/d_sSXE5J_normal.jpg,https://web.archive.org/web/*/https://twitter.com/sarahfaye78,bot,bot,,,,,,,
173413459,MusicLov3rzRdo,#MusicLov3rz Radio,0.9801,pewny_bot,http://pbs.twimg.com/profile_images/1065735627117748226/TZoaAvc2_normal.jpg,https://web.archive.org/web/*/http://pbs.twimg.com/profile_images/1065735627117748226/TZoaAvc2_normal.jpg,https://web.archive.org/web/*/https://twitter.com/MusicLov3rzRdo,bot,bot,,,,,,,
